"","senator","seniority_date","term","party","state","dob"
"3695","John Sherman Cooper","November 7, 1956",87,NA,NA,"1901-08-23"
"3696","Strom Thurmond","November 7, 1956",87,NA,NA,"1902-12-05"
"3697","Thruston Ballard Morton","January 3, 1957",87,NA,NA,"1907-08-19"
"3698","John A. Carroll","January 3, 1957",87,NA,NA,"1901-07-30"
"3699","Frank J. Lausche","January 3, 1957",87,NA,NA,"1895-11-14"
"3700","Herman Talmadge","January 3, 1957",87,NA,NA,"1913-08-09"
"3701","Joseph S. Clark","January 3, 1957",87,NA,NA,"1901-10-21"
"3702","Frank Church","January 3, 1957",87,NA,NA,"1924-07-25"
"3703","Jacob K. Javits","January 9, 1957",87,NA,NA,"1904-05-18"
"3704","Ralph Yarborough","April 29, 1957",87,NA,NA,"1903-06-08"
"3705","William Proxmire","August 28, 1957",87,NA,NA,"1915-11-11"
"3706","Ben Jordan","April 19, 1958",87,NA,NA,"1896-09-08"
"3707","Jennings Randolph","November 5, 1958",87,NA,NA,"1902-03-08"
"3708","Hugh Scott","January 3, 1959",87,NA,NA,"1900-11-11"
"3709","Clair Engle","January 3, 1959",87,NA,NA,"1911-09-21"
"3710","Kenneth Keating","January 3, 1959",87,NA,NA,"1900-05-18"
"3711","Eugene McCarthy","January 3, 1959",87,NA,NA,"1916-03-29"
"3712","Stephen Young","January 3, 1959",87,NA,NA,"1889-05-04"
"3713","Winston L. Prouty","January 3, 1959",87,NA,NA,"1906-09-01"
"3714","Robert Byrd","January 3, 1959",87,NA,NA,"1917-11-20"
"3715","Harrison A. Williams","January 3, 1959",87,NA,NA,"1919-12-10"
"3716","Thomas J. Dodd","January 3, 1959",87,NA,NA,"1907-05-15"
"3717","Edward L. Bartlett","January 3, 1959",87,NA,NA,"1904-04-20"
"3718","Edmund Muskie","January 3, 1959",87,NA,NA,"1914-03-28"
"3719","Ernest Gruening","January 3, 1959",87,NA,NA,"1887-02-06"
"3720","Philip Hart","January 3, 1959",87,NA,NA,"1912-12-10"
"3721","Vance Hartke","January 3, 1959",87,NA,NA,"1919-05-31"
"3722","Frank Moss","January 3, 1959",87,NA,NA,"1911-09-23"
"3723","Gale W. McGee","January 3, 1959",87,NA,NA,"1915-03-17"
"3724","Howard Cannon","January 3, 1959",87,NA,NA,"1912-01-26"
"3725","Oren E. Long","August 21, 1959",87,NA,NA,"1889-03-04"
"3726","Hiram Fong","August 21, 1959",87,NA,NA,"1906-10-15"
"3727","Quentin Northrup Burdick","August 8, 1960",87,NA,NA,"1908-06-19"
"3728","Edward V. Long","September 23, 1960",87,NA,NA,"1908-07-18"
"3729","Maurine Neuberger","November 9, 1960",87,NA,NA,"1907-01-09"
"3730","Benjamin A. Smith II","December 27, 1960",87,NA,NA,"1916-03-26"
"3731","William A. Blakley","January 3, 1961",87,NA,NA,"1898-11-17"
"3732","Lee Metcalf","January 3, 1961",87,NA,NA,"1911-01-28"
"3733","James Boggs","January 3, 1961",87,NA,NA,"1909-05-15"
"3734","John J. Hickey","January 3, 1961",87,NA,NA,"1911-08-22"
"3735","Jack Miller","January 3, 1961",87,NA,NA,"1916-06-06"
"3736","Claiborne Pell","January 3, 1961",87,NA,NA,"1918-11-22"
"3737","Carl Hayden","March 4, 1927",88,NA,NA,"1877-10-02"
"3738","Richard Russell, Jr.","January 12, 1933",88,NA,NA,"1897-11-02"
"3739","Harry F. Byrd, Sr.","March 4, 1933",88,NA,NA,"1887-06-10"
"3740","Allen J. Ellender","January 3, 1937",88,NA,NA,"1890-09-24"
"3741","Joseph L. Hill","January 11, 1938",88,NA,NA,"1894-12-29"
"3742","George Aiken","January 10, 1941",88,NA,NA,"1892-08-20"
"3743","James Eastland","January 3, 1943",88,NA,NA,"1904-11-28"
"3744","John Little McClellan","January 3, 1943",88,NA,NA,"1896-02-25"
"3745","Warren G. Magnuson","December 14, 1944",88,NA,NA,"1905-04-12"
"3746","J. William Fulbright","January 3, 1945",88,NA,NA,"1905-04-09"
"3747","Bourke B. Hickenlooper","January 3, 1945",88,NA,NA,"1896-07-21"
"3748","Olin D. Johnston","January 3, 1945",88,NA,NA,"1896-11-18"
"3749","Wayne Morse","January 3, 1945",88,NA,NA,"1900-10-20"
"3750","Leverett Saltonstall","January 4, 1945",88,NA,NA,"1892-09-01"
"3751","Milton Young","March 12, 1945",88,NA,NA,"1897-12-06"
"3752","Spessard Holland","September 24, 1946",88,NA,NA,"1892-07-10"
"3753","A. Willis Robertson","November 6, 1946",88,NA,NA,"1887-05-27"
"3754","John Sparkman","November 6, 1946",88,NA,NA,"1899-12-20"
"3755","John J. Williams","January 3, 1947",88,NA,NA,"1904-05-17"
"3756","John C. Stennis","November 17, 1947",88,NA,NA,"1901-08-03"
"3757","Karl Mundt","December 31, 1948",88,NA,NA,"1900-06-03"
"3758","Russell B. Long","December 31, 1948",88,NA,NA,"1918-11-03"
"3759","Estes Kefauver","January 3, 1949",88,NA,NA,"1903-07-26"
"3760","Margaret Chase Smith","January 3, 1949",88,NA,NA,"1897-12-14"
"3761","Clinton Anderson","January 3, 1949",88,NA,NA,"1895-11-11"
"3762","Paul Douglas","January 3, 1949",88,NA,NA,"1892-03-26"
"3763","Hubert Humphrey","January 3, 1949",88,NA,NA,"1911-05-27"
"3764","Frank Carlson","November 27, 1950",88,NA,NA,"1893-01-23"
"3765","John O. Pastore","December 19, 1950",88,NA,NA,"1907-03-17"
"3766","Everett Dirksen","January 3, 1951",88,NA,NA,"1896-01-04"
"3767","Almer Monroney","January 3, 1951",88,NA,NA,"1902-03-02"
"3768","George Smathers","January 3, 1951",88,NA,NA,"1913-11-14"
"3769","Wallace F. Bennett","January 3, 1951",88,NA,NA,"1898-11-13"
"3770","Thomas Kuchel","January 2, 1953",88,NA,NA,"1910-08-15"
"3771","Albert Gore, Sr.","January 3, 1953",88,NA,NA,"1907-12-26"
"3772","Henry M. Jackson","January 3, 1953",88,NA,NA,"1912-05-31"
"3773","James Glenn Beall","January 3, 1953",88,NA,NA,"1894-06-05"
"3774","Mike Mansfield","January 3, 1953",88,NA,NA,"1903-03-16"
"3775","Stuart Symington","January 3, 1953",88,NA,NA,"1901-06-26"
"3776","Barry Goldwater","January 3, 1953",88,NA,NA,"1909-01-02"
"3777","Sam Ervin","June 5, 1954",88,NA,NA,"1896-09-27"
"3778","Norris Cotton","November 8, 1954",88,NA,NA,"1900-05-11"
"3779","Roman Hruska","November 8, 1954",88,NA,NA,"1904-08-16"
"3780","Alan Bible","December 2, 1954",88,NA,NA,"1909-11-20"
"3781","Carl Curtis","January 1, 1955",88,NA,NA,"1905-03-15"
"3782","Clifford P. Case","January 3, 1955",88,NA,NA,"1904-04-16"
"3783","Patrick V. McNamara","January 3, 1955",88,NA,NA,"1894-10-04"
"3784","Gordon L. Allott","January 3, 1955",88,NA,NA,"1907-01-02"
"3785","John Sherman Cooper","November 7, 1956",88,NA,NA,"1901-08-23"
"3786","Strom Thurmond","November 7, 1956",88,NA,NA,"1902-12-05"
"3787","Thruston Ballard Morton","January 3, 1957",88,NA,NA,"1907-08-19"
"3788","Frank J. Lausche","January 3, 1957",88,NA,NA,"1895-11-14"
"3789","Herman Talmadge","January 3, 1957",88,NA,NA,"1913-08-09"
"3790","Joseph S. Clark","January 3, 1957",88,NA,NA,"1901-10-21"
"3791","Frank Church","January 3, 1957",88,NA,NA,"1924-07-25"
"3792","Jacob K. Javits","January 9, 1957",88,NA,NA,"1904-05-18"
"3793","Ralph Yarborough","April 29, 1957",88,NA,NA,"1903-06-08"
"3794","William Proxmire","August 28, 1957",88,NA,NA,"1915-11-11"
"3795","Ben Jordan","April 19, 1958",88,NA,NA,"1896-09-08"
"3796","Jennings Randolph","November 5, 1958",88,NA,NA,"1902-03-08"
"3797","Hugh Scott","January 3, 1959",88,NA,NA,"1900-11-11"
"3798","Clair Engle","January 3, 1959",88,NA,NA,"1911-09-21"
"3799","Kenneth Keating","January 3, 1959",88,NA,NA,"1900-05-18"
"3800","Eugene McCarthy","January 3, 1959",88,NA,NA,"1916-03-29"
"3801","Stephen Young","January 3, 1959",88,NA,NA,"1889-05-04"
"3802","Winston L. Prouty","January 3, 1959",88,NA,NA,"1906-09-01"
"3803","Robert Byrd","January 3, 1959",88,NA,NA,"1917-11-20"
"3804","Harrison A. Williams","January 3, 1959",88,NA,NA,"1919-12-10"
"3805","Thomas J. Dodd","January 3, 1959",88,NA,NA,"1907-05-15"
"3806","Edward L. Bartlett","January 3, 1959",88,NA,NA,"1904-04-20"
"3807","Edmund Muskie","January 3, 1959",88,NA,NA,"1914-03-28"
"3808","Ernest Gruening","January 3, 1959",88,NA,NA,"1887-02-06"
"3809","Philip Hart","January 3, 1959",88,NA,NA,"1912-12-10"
"3810","Vance Hartke","January 3, 1959",88,NA,NA,"1919-05-31"
"3811","Frank Moss","January 3, 1959",88,NA,NA,"1911-09-23"
"3812","Gale W. McGee","January 3, 1959",88,NA,NA,"1915-03-17"
"3813","Howard Cannon","January 3, 1959",88,NA,NA,"1912-01-26"
"3814","Hiram Fong","August 21, 1959",88,NA,NA,"1906-10-15"
"3815","Quentin Northrup Burdick","August 8, 1960",88,NA,NA,"1908-06-19"
"3816","Edward V. Long","September 23, 1960",88,NA,NA,"1908-07-18"
"3817","Maurine Neuberger","November 9, 1960",88,NA,NA,"1907-01-09"
"3818","Lee Metcalf","January 3, 1961",88,NA,NA,"1911-01-28"
"3819","James Boggs","January 3, 1961",88,NA,NA,"1909-05-15"
"3820","Jack Miller","January 3, 1961",88,NA,NA,"1916-06-06"
"3821","Claiborne Pell","January 3, 1961",88,NA,NA,"1918-11-22"
"3822","John Tower","June 15, 1961",88,NA,NA,"1925-09-29"
"3823","James B. Pearson","January 31, 1962",88,NA,NA,"1920-05-07"
"3824","Leonard B. Jordan","August 6, 1962",88,NA,NA,"1899-05-15"
"3825","Milward L. Simpson","November 7, 1962",88,NA,NA,"1897-11-12"
"3826","Ted Kennedy","November 7, 1962",88,NA,NA,"1932-02-22"
"3827","Thomas J. McIntyre","November 7, 1962",88,NA,NA,"1915-02-20"
"3828","Edwin L. Mechem","November 30, 1962",88,NA,NA,"1912-07-02"
"3829","Abraham A. Ribicoff","January 3, 1963",88,NA,NA,"1910-04-09"
"3830","Daniel Brewster","January 3, 1963",88,NA,NA,"1923-11-23"
"3831","George McGovern","January 3, 1963",88,NA,NA,"1922-07-19"
"3832","Daniel Inouye","January 3, 1963",88,NA,NA,"1924-09-07"
"3833","Peter H. Dominick","January 3, 1963",88,NA,NA,"1915-07-07"
"3834","Birch Bayh","January 3, 1963",88,NA,NA,"1928-01-22"
"3835","J. Howard Edmondson","January 7, 1963",88,NA,NA,"1925-09-27"
"3836","Gaylord Nelson","January 8, 1963",88,NA,NA,"1916-06-04"
"3837","Carl Hayden","March 4, 1927",89,NA,NA,"1877-10-02"
"3838","Richard Russell, Jr.","January 12, 1933",89,NA,NA,"1897-11-02"
"3839","Harry F. Byrd, Sr.","March 4, 1933",89,NA,NA,"1887-06-10"
"3840","Allen J. Ellender","January 3, 1937",89,NA,NA,"1890-09-24"
"3841","Joseph L. Hill","January 11, 1938",89,NA,NA,"1894-12-29"
"3842","George Aiken","January 10, 1941",89,NA,NA,"1892-08-20"
"3843","James Eastland","January 3, 1943",89,NA,NA,"1904-11-28"
"3844","John Little McClellan","January 3, 1943",89,NA,NA,"1896-02-25"
"3845","Warren G. Magnuson","December 14, 1944",89,NA,NA,"1905-04-12"
"3846","J. William Fulbright","January 3, 1945",89,NA,NA,"1905-04-09"
"3847","Bourke B. Hickenlooper","January 3, 1945",89,NA,NA,"1896-07-21"
"3848","Olin D. Johnston","January 3, 1945",89,NA,NA,"1896-11-18"
"3849","Wayne Morse","January 3, 1945",89,NA,NA,"1900-10-20"
"3850","Leverett Saltonstall","January 4, 1945",89,NA,NA,"1892-09-01"
"3851","Milton Young","March 12, 1945",89,NA,NA,"1897-12-06"
"3852","Spessard Holland","September 24, 1946",89,NA,NA,"1892-07-10"
"3853","A. Willis Robertson","November 6, 1946",89,NA,NA,"1887-05-27"
"3854","John Sparkman","November 6, 1946",89,NA,NA,"1899-12-20"
"3855","John J. Williams","January 3, 1947",89,NA,NA,"1904-05-17"
"3856","John C. Stennis","November 17, 1947",89,NA,NA,"1901-08-03"
"3857","Karl Mundt","December 31, 1948",89,NA,NA,"1900-06-03"
"3858","Russell B. Long","December 31, 1948",89,NA,NA,"1918-11-03"
"3859","Margaret Chase Smith","January 3, 1949",89,NA,NA,"1897-12-14"
"3860","Clinton Anderson","January 3, 1949",89,NA,NA,"1895-11-11"
"3861","Paul Douglas","January 3, 1949",89,NA,NA,"1892-03-26"
"3862","Frank Carlson","November 27, 1950",89,NA,NA,"1893-01-23"
"3863","John O. Pastore","December 19, 1950",89,NA,NA,"1907-03-17"
"3864","Everett Dirksen","January 3, 1951",89,NA,NA,"1896-01-04"
"3865","Almer Monroney","January 3, 1951",89,NA,NA,"1902-03-02"
"3866","George Smathers","January 3, 1951",89,NA,NA,"1913-11-14"
"3867","Wallace F. Bennett","January 3, 1951",89,NA,NA,"1898-11-13"
"3868","Thomas Kuchel","January 2, 1953",89,NA,NA,"1910-08-15"
"3869","Albert Gore, Sr.","January 3, 1953",89,NA,NA,"1907-12-26"
"3870","Henry M. Jackson","January 3, 1953",89,NA,NA,"1912-05-31"
"3871","Mike Mansfield","January 3, 1953",89,NA,NA,"1903-03-16"
"3872","Stuart Symington","January 3, 1953",89,NA,NA,"1901-06-26"
"3873","Sam Ervin","June 5, 1954",89,NA,NA,"1896-09-27"
"3874","Norris Cotton","November 8, 1954",89,NA,NA,"1900-05-11"
"3875","Roman Hruska","November 8, 1954",89,NA,NA,"1904-08-16"
"3876","Alan Bible","December 2, 1954",89,NA,NA,"1909-11-20"
"3877","Carl Curtis","January 1, 1955",89,NA,NA,"1905-03-15"
"3878","Clifford P. Case","January 3, 1955",89,NA,NA,"1904-04-16"
"3879","Patrick V. McNamara","January 3, 1955",89,NA,NA,"1894-10-04"
"3880","Gordon L. Allott","January 3, 1955",89,NA,NA,"1907-01-02"
"3881","John Sherman Cooper","November 7, 1956",89,NA,NA,"1901-08-23"
"3882","Strom Thurmond","November 7, 1956",89,NA,NA,"1902-12-05"
"3883","Thruston Ballard Morton","January 3, 1957",89,NA,NA,"1907-08-19"
"3884","Frank J. Lausche","January 3, 1957",89,NA,NA,"1895-11-14"
"3885","Herman Talmadge","January 3, 1957",89,NA,NA,"1913-08-09"
"3886","Joseph S. Clark","January 3, 1957",89,NA,NA,"1901-10-21"
"3887","Frank Church","January 3, 1957",89,NA,NA,"1924-07-25"
"3888","Jacob K. Javits","January 9, 1957",89,NA,NA,"1904-05-18"
"3889","Ralph Yarborough","April 29, 1957",89,NA,NA,"1903-06-08"
"3890","William Proxmire","August 28, 1957",89,NA,NA,"1915-11-11"
"3891","Ben Jordan","April 19, 1958",89,NA,NA,"1896-09-08"
"3892","Jennings Randolph","November 5, 1958",89,NA,NA,"1902-03-08"
"3893","Hugh Scott","January 3, 1959",89,NA,NA,"1900-11-11"
"3894","Eugene McCarthy","January 3, 1959",89,NA,NA,"1916-03-29"
"3895","Stephen Young","January 3, 1959",89,NA,NA,"1889-05-04"
"3896","Winston L. Prouty","January 3, 1959",89,NA,NA,"1906-09-01"
"3897","Robert Byrd","January 3, 1959",89,NA,NA,"1917-11-20"
"3898","Harrison A. Williams","January 3, 1959",89,NA,NA,"1919-12-10"
"3899","Thomas J. Dodd","January 3, 1959",89,NA,NA,"1907-05-15"
"3900","Edward L. Bartlett","January 3, 1959",89,NA,NA,"1904-04-20"
"3901","Edmund Muskie","January 3, 1959",89,NA,NA,"1914-03-28"
"3902","Ernest Gruening","January 3, 1959",89,NA,NA,"1887-02-06"
"3903","Philip Hart","January 3, 1959",89,NA,NA,"1912-12-10"
"3904","Vance Hartke","January 3, 1959",89,NA,NA,"1919-05-31"
"3905","Frank Moss","January 3, 1959",89,NA,NA,"1911-09-23"
"3906","Gale W. McGee","January 3, 1959",89,NA,NA,"1915-03-17"
"3907","Howard Cannon","January 3, 1959",89,NA,NA,"1912-01-26"
"3908","Hiram Fong","August 21, 1959",89,NA,NA,"1906-10-15"
"3909","Quentin Northrup Burdick","August 8, 1960",89,NA,NA,"1908-06-19"
"3910","Edward V. Long","September 23, 1960",89,NA,NA,"1908-07-18"
"3911","Maurine Neuberger","November 9, 1960",89,NA,NA,"1907-01-09"
"3912","Lee Metcalf","January 3, 1961",89,NA,NA,"1911-01-28"
"3913","James Boggs","January 3, 1961",89,NA,NA,"1909-05-15"
"3914","Jack Miller","January 3, 1961",89,NA,NA,"1916-06-06"
"3915","Claiborne Pell","January 3, 1961",89,NA,NA,"1918-11-22"
"3916","John Tower","June 15, 1961",89,NA,NA,"1925-09-29"
"3917","James B. Pearson","January 31, 1962",89,NA,NA,"1920-05-07"
"3918","Leonard B. Jordan","August 6, 1962",89,NA,NA,"1899-05-15"
"3919","Milward L. Simpson","November 7, 1962",89,NA,NA,"1897-11-12"
"3920","Ted Kennedy","November 7, 1962",89,NA,NA,"1932-02-22"
"3921","Thomas J. McIntyre","November 7, 1962",89,NA,NA,"1915-02-20"
"3922","Abraham A. Ribicoff","January 3, 1963",89,NA,NA,"1910-04-09"
"3923","Daniel Brewster","January 3, 1963",89,NA,NA,"1923-11-23"
"3924","George McGovern","January 3, 1963",89,NA,NA,"1922-07-19"
"3925","Daniel Inouye","January 3, 1963",89,NA,NA,"1924-09-07"
"3926","Peter H. Dominick","January 3, 1963",89,NA,NA,"1915-07-07"
"3927","Birch Bayh","January 3, 1963",89,NA,NA,"1928-01-22"
"3928","Gaylord Nelson","January 7, 1963",89,NA,NA,"1916-06-04"
"3929","Ross Bass","November 4, 1964",89,NA,NA,"1918-03-17"
"3930","Joseph Montoya","November 4, 1964",89,NA,NA,"1915-09-24"
"3931","Fred R. Harris","November 4, 1964",89,NA,NA,"1930-11-13"
"3932","Walter Mondale","December 30, 1964",89,NA,NA,"1928-01-05"
"3933","George Murphy","January 1, 1965",89,NA,NA,"1902-07-04"
"3934","Joseph Tydings","January 3, 1965",89,NA,NA,"1928-05-04"
"3935","Robert F. Kennedy","January 3, 1965",89,NA,NA,"1925-11-20"
"3936","Paul Fannin","January 3, 1965",89,NA,NA,"1907-01-29"
"3937","Carl Hayden","March 4, 1927",90,NA,NA,"1877-10-02"
"3938","Richard Russell, Jr.","January 12, 1933",90,NA,NA,"1897-11-02"
"3939","Allen J. Ellender","January 3, 1937",90,NA,NA,"1890-09-24"
"3940","Joseph L. Hill","January 11, 1938",90,NA,NA,"1894-12-29"
"3941","George Aiken","January 10, 1941",90,NA,NA,"1892-08-20"
"3942","James Eastland","January 3, 1943",90,NA,NA,"1904-11-28"
"3943","John Little McClellan","January 3, 1943",90,NA,NA,"1896-02-25"
"3944","Warren G. Magnuson","December 14, 1944",90,NA,NA,"1905-04-12"
"3945","J. William Fulbright","January 3, 1945",90,NA,NA,"1905-04-09"
"3946","Bourke B. Hickenlooper","January 3, 1945",90,NA,NA,"1896-07-21"
"3947","Wayne Morse","January 3, 1945",90,NA,NA,"1900-10-20"
"3948","Milton Young","March 12, 1945",90,NA,NA,"1897-12-06"
"3949","Spessard Holland","September 24, 1946",90,NA,NA,"1892-07-10"
"3950","John Sparkman","November 6, 1946",90,NA,NA,"1899-12-20"
"3951","John J. Williams","January 3, 1947",90,NA,NA,"1904-05-17"
"3952","John C. Stennis","November 17, 1947",90,NA,NA,"1901-08-03"
"3953","Karl Mundt","December 31, 1948",90,NA,NA,"1900-06-03"
"3954","Russell B. Long","December 31, 1948",90,NA,NA,"1918-11-03"
"3955","Margaret Chase Smith","January 3, 1949",90,NA,NA,"1897-12-14"
"3956","Clinton Anderson","January 3, 1949",90,NA,NA,"1895-11-11"
"3957","Frank Carlson","November 27, 1950",90,NA,NA,"1893-01-23"
"3958","John O. Pastore","December 19, 1950",90,NA,NA,"1907-03-17"
"3959","Everett Dirksen","January 3, 1951",90,NA,NA,"1896-01-04"
"3960","Almer Monroney","January 3, 1951",90,NA,NA,"1902-03-02"
"3961","George Smathers","January 3, 1951",90,NA,NA,"1913-11-14"
"3962","Wallace F. Bennett","January 3, 1951",90,NA,NA,"1898-11-13"
"3963","Thomas Kuchel","January 2, 1953",90,NA,NA,"1910-08-15"
"3964","Albert Gore, Sr.","January 3, 1953",90,NA,NA,"1907-12-26"
"3965","Henry M. Jackson","January 3, 1953",90,NA,NA,"1912-05-31"
"3966","Mike Mansfield","January 3, 1953",90,NA,NA,"1903-03-16"
"3967","Stuart Symington","January 3, 1953",90,NA,NA,"1901-06-26"
"3968","Sam Ervin","June 5, 1954",90,NA,NA,"1896-09-27"
"3969","Norris Cotton","November 8, 1954",90,NA,NA,"1900-05-11"
"3970","Roman Hruska","November 8, 1954",90,NA,NA,"1904-08-16"
"3971","Alan Bible","December 2, 1954",90,NA,NA,"1909-11-20"
"3972","Carl Curtis","January 1, 1955",90,NA,NA,"1905-03-15"
"3973","Clifford P. Case","January 3, 1955",90,NA,NA,"1904-04-16"
"3974","Gordon L. Allott","January 3, 1955",90,NA,NA,"1907-01-02"
"3975","John Sherman Cooper","November 7, 1956",90,NA,NA,"1901-08-23"
"3976","Strom Thurmond","November 7, 1956",90,NA,NA,"1902-12-05"
"3977","Thruston Ballard Morton","January 3, 1957",90,NA,NA,"1907-08-19"
"3978","Frank J. Lausche","January 3, 1957",90,NA,NA,"1895-11-14"
"3979","Herman Talmadge","January 3, 1957",90,NA,NA,"1913-08-09"
"3980","Joseph S. Clark","January 3, 1957",90,NA,NA,"1901-10-21"
"3981","Frank Church","January 3, 1957",90,NA,NA,"1924-07-25"
"3982","Jacob K. Javits","January 9, 1957",90,NA,NA,"1904-05-18"
"3983","Ralph Yarborough","April 29, 1957",90,NA,NA,"1903-06-08"
"3984","William Proxmire","August 28, 1957",90,NA,NA,"1915-11-11"
"3985","B. Everett Jordan","April 19, 1958",90,NA,NA,"1896-09-08"
"3986","Jennings Randolph","November 5, 1958",90,NA,NA,"1902-03-08"
"3987","Hugh Scott","January 3, 1959",90,NA,NA,"1900-11-11"
"3988","Eugene McCarthy","January 3, 1959",90,NA,NA,"1916-03-29"
"3989","Stephen Young","January 3, 1959",90,NA,NA,"1889-05-04"
"3990","Winston L. Prouty","January 3, 1959",90,NA,NA,"1906-09-01"
"3991","Robert Byrd","January 3, 1959",90,NA,NA,"1917-11-20"
"3992","Harrison A. Williams","January 3, 1959",90,NA,NA,"1919-12-10"
"3993","Thomas J. Dodd","January 3, 1959",90,NA,NA,"1907-05-15"
"3994","Edward L. Bartlett","January 3, 1959",90,NA,NA,"1904-04-20"
"3995","Edmund Muskie","January 3, 1959",90,NA,NA,"1914-03-28"
"3996","Ernest Gruening","January 3, 1959",90,NA,NA,"1887-02-06"
"3997","Philip Hart","January 3, 1959",90,NA,NA,"1912-12-10"
"3998","Vance Hartke","January 3, 1959",90,NA,NA,"1919-05-31"
"3999","Frank Moss","January 3, 1959",90,NA,NA,"1911-09-23"
"4000","Gale W. McGee","January 3, 1959",90,NA,NA,"1915-03-17"
"4001","Howard Cannon","January 3, 1959",90,NA,NA,"1912-01-26"
"4002","Hiram Fong","August 21, 1959",90,NA,NA,"1906-10-15"
"4003","Quentin Northrup Burdick","August 8, 1960",90,NA,NA,"1908-06-19"
"4004","Edward V. Long","September 23, 1960",90,NA,NA,"1908-07-18"
"4005","Lee Metcalf","January 3, 1961",90,NA,NA,"1911-01-28"
"4006","James Boggs","January 3, 1961",90,NA,NA,"1909-05-15"
"4007","Jack Miller","January 3, 1961",90,NA,NA,"1916-06-06"
"4008","Claiborne Pell","January 3, 1961",90,NA,NA,"1918-11-22"
"4009","John Tower","June 15, 1961",90,NA,NA,"1925-09-29"
"4010","James B. Pearson","January 31, 1962",90,NA,NA,"1920-05-07"
"4011","Leonard B. Jordan","August 6, 1962",90,NA,NA,"1899-05-15"
"4012","Ted Kennedy","November 7, 1962",90,NA,NA,"1932-02-22"
"4013","Thomas J. McIntyre","November 7, 1962",90,NA,NA,"1915-02-20"
"4014","Abraham A. Ribicoff","January 3, 1963",90,NA,NA,"1910-04-09"
"4015","Daniel Brewster","January 3, 1963",90,NA,NA,"1923-11-23"
"4016","George McGovern","January 3, 1963",90,NA,NA,"1922-07-19"
"4017","Daniel Inouye","January 3, 1963",90,NA,NA,"1924-09-07"
"4018","Peter H. Dominick","January 3, 1963",90,NA,NA,"1915-07-07"
"4019","Birch Bayh","January 3, 1963",90,NA,NA,"1928-01-22"
"4020","Gaylord Nelson","January 7, 1963",90,NA,NA,"1916-06-04"
"4021","Joseph Montoya","November 4, 1964",90,NA,NA,"1915-09-24"
"4022","Fred R. Harris","November 4, 1964",90,NA,NA,"1930-11-13"
"4023","Walter Mondale","December 30, 1964",90,NA,NA,"1928-01-05"
"4024","George Murphy","January 1, 1965",90,NA,NA,"1902-07-04"
"4025","Joseph Tydings","January 3, 1965",90,NA,NA,"1928-05-04"
"4026","Robert F. Kennedy","January 3, 1965",90,NA,NA,"1925-11-20"
"4027","Paul Fannin","January 3, 1965",90,NA,NA,"1907-01-29"
"4028","Harry F. Byrd, Jr.","November 12, 1965",90,NA,NA,"1914-12-20"
"4029","Robert P. Griffin","May 11, 1966",90,NA,NA,"1923-11-06"
"4030","Ernest Hollings","November 9, 1966",90,NA,NA,"1922-01-01"
"4031","William B. Spong, Jr.","December 31, 1966",90,NA,NA,"1920-09-29"
"4032","Clifford Hansen","January 3, 1967",90,NA,NA,"1912-10-16"
"4033","Charles H. Percy","January 3, 1967",90,NA,NA,"1919-09-27"
"4034","Edward Brooke","January 3, 1967",90,NA,NA,"1919-10-26"
"4035","Howard Baker","January 3, 1967",90,NA,NA,"1925-11-15"
"4036","Mark Hatfield","January 10, 1967",90,NA,NA,"1922-07-12"
"4037","Richard Russell, Jr.","January 12, 1933",91,NA,NA,"1897-11-02"
"4038","Allen J. Ellender","January 3, 1937",91,NA,NA,"1890-09-24"
"4039","George Aiken","January 10, 1941",91,NA,NA,"1892-08-20"
"4040","James Eastland","January 3, 1943",91,NA,NA,"1904-11-28"
"4041","John Little McClellan","January 3, 1943",91,NA,NA,"1896-02-25"
"4042","Warren G. Magnuson","December 14, 1944",91,NA,NA,"1905-04-12"
"4043","J. William Fulbright","January 3, 1945",91,NA,NA,"1905-04-09"
"4044","Milton Young","March 12, 1945",91,NA,NA,"1897-12-06"
"4045","Spessard Holland","September 24, 1946",91,NA,NA,"1892-07-10"
"4046","John Sparkman","November 6, 1946",91,NA,NA,"1899-12-20"
"4047","John J. Williams","January 3, 1947",91,NA,NA,"1904-05-17"
"4048","John C. Stennis","November 17, 1947",91,NA,NA,"1901-08-03"
"4049","Karl Mundt","December 31, 1948",91,NA,NA,"1900-06-03"
"4050","Russell B. Long","December 31, 1948",91,NA,NA,"1918-11-03"
"4051","Margaret Chase Smith","January 3, 1949",91,NA,NA,"1897-12-14"
"4052","Clinton Anderson","January 3, 1949",91,NA,NA,"1895-11-11"
"4053","John O. Pastore","December 19, 1950",91,NA,NA,"1907-03-17"
"4054","Everett Dirksen","January 3, 1951",91,NA,NA,"1896-01-04"
"4055","Wallace F. Bennett","January 3, 1951",91,NA,NA,"1898-11-13"
"4056","Albert Gore, Sr.","January 3, 1953",91,NA,NA,"1907-12-26"
"4057","Henry M. Jackson","January 3, 1953",91,NA,NA,"1912-05-31"
"4058","Mike Mansfield","January 3, 1953",91,NA,NA,"1903-03-16"
"4059","Stuart Symington","January 3, 1953",91,NA,NA,"1901-06-26"
"4060","Sam Ervin","June 5, 1954",91,NA,NA,"1896-09-27"
"4061","Norris Cotton","November 8, 1954",91,NA,NA,"1900-05-11"
"4062","Roman Hruska","November 8, 1954",91,NA,NA,"1904-08-16"
